date,headline
2021-01-01,Women who lead: Comcast's Dalila Wilson-Scott
2021-01-01,Covid is crushing America. Biden's health care changes can help.
2021-01-01,How to fix what's wrong with the Republican Party
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/29/2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/29/2021"
2021-01-01,"Transcript: The Rachel Maddow Show, 1/29/2021"
2021-01-01,"Transcript: All In with Chris Hayes, 1/29/21"
2021-01-01,"Transcript: The ReidOut, 1/29/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/29/21"
2021-01-01,"Friday's Mini-Report, 1.29.21"
2021-01-01,Transcript: Reporting on Race
2021-01-01,How Trump did what Democrats couldn't
2021-01-01,"Alicia Menendez to women: Don't be likeable, be wildly ambitious at work"
2021-01-01,"Hoping to revive Iran deal, Biden names new envoy to Tehran"
2021-01-01,"Friday's Campaign Round-Up, 1.29.21"
2021-01-01,Why Biden reversing the anti-abortion 'gag rule' matters
2021-01-01,"With the stroke of a pen, Biden strengthens Affordable Care Act"
2021-01-01,Republicans outraged by Dems' willingness to govern without them
2021-01-01,Why it matters that McCarthy went to Mar-a-Lago to kiss the ring
2021-01-01,Marjorie Taylor Greene's space-laser talk offers GOP new opportunity
2021-01-01,Reddit is winning with GameStop. Wall Street is winning the long game.
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/28/2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/28/2021"
2021-01-01,"Transcript: The Rachel Maddow Show, 1/28/2021"
2021-01-01,"Transcript: All In with Chris Hayes, 1/28/2021"
2021-01-01,"Transcript: The ReidOut, 1/28/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/28/21"
2021-01-01,"Thursday's Mini-Report, 1.28.21"
2021-01-01,"Republicans eye voting restrictions, despite smooth 2020 cycle"
2021-01-01,"Thursday's Campaign Round-Up, 1.28.21"
2021-01-01,New data shows 2020 was worst year for economy since WWII era
2021-01-01,Why Covid vaccine skepticism is such a problem in Black and brown communities
2021-01-01,Why Republicans are 'frustrated' and 'angry' as Dems eye COVID relief
2021-01-01,Celebrating every body: 9 books to help young girls build a positive image
2021-01-01,America's botched vaccine rollout puts its broken health care system on full display
2021-01-01,"On the filibuster's future, many Dems giving reforms a fresh look"
2021-01-01,New Republican congressman prioritizes punditry over policy
2021-01-01,Reporting on Race
2021-01-01,"Unemployment claims show improvement, but remain painfully high"
2021-01-01,GOP's Greene faces backlash over radical new revelations
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/27/2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/27/2021"
2021-01-01,"Transcript: The Rachel Maddow Show, 1/27/2021"
2021-01-01,"Transcript: All In with Chris Hayes, 1/27/21"
2021-01-01,"Transcript: The ReidOut, 1/27/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/27/21"
2021-01-01,"Wednesday's Mini-Report, 1.27.21"
2021-01-01,Here's why a recruiter might ignore your cover letter
2021-01-01,Trump's Covid lies were a tragedy. Were they also a crime?
2021-01-01,Mitt Romney challenges his party to reject the 'big lie'
2021-01-01,Transcript: Carla Hayden: Palace to Knowledge
2021-01-01,Covid-19 has hurt women's retirement accounts ― Here's how to rebuild
2021-01-01,"The nation needs two governing parties, and we're one short"
2021-01-01,"Wednesday's Campaign Round-Up, 1.27.21"
2021-01-01,It's not just DC: Drama overwhelms state-level Republican parties
2021-01-01,"Three weeks after Capitol attack, Cruz, Haley push to 'move on'"
2021-01-01,Carla Hayden: Palace to Knowledge
2021-01-01,Russia's Putin has a different kind of call with the White House
2021-01-01,"On minimum wage, Dems aim high with 'Raise the Wage Act'"
2021-01-01,Marjorie Taylor Greene's record of radicalism gets even worse
2021-01-01,The filibuster hurts only Senate Democrats — and Mitch McConnell knows that
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/26/2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/26/2021"
2021-01-01,"Transcript: The Rachel Maddow Show, 1/26/2021"
2021-01-01,"Transcript: All In with Chris Hayes, 1/26/21"
2021-01-01,"Transcript: The ReidOut, 1/26/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/26/21"
2021-01-01,"Tuesday's Mini-Report, 1.26.21"
2021-01-01,Madison Cawthorn is trying to use ableist stereotypes to exploit America
2021-01-01,Rubio believes presidents like Trump are above the law
2021-01-01,Why the Senate vote on Rand Paul's impeachment trial plan matters
2021-01-01,"Trump wouldn't really create a new 'Patriot Party,' would he?"
2021-01-01,"Tuesday's Campaign Round-Up, 1.26.21"
2021-01-01,What if Joe Biden declared a climate emergency?
2021-01-01,"To boost coverage, Biden to reopen ACA marketplaces"
2021-01-01,China's Covid success story is also a human rights tragedy
2021-01-01,"To get around GOP filibusters, Dems intend to use key tactic twice"
2021-01-01,Biden admin eyes new approach to violent domestic extremism
2021-01-01,How (and why) Mitch McConnell caved on his Senate blockade
2021-01-01,Sen. Rob Portman's retirement may be bad for Joe Biden's agenda
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/25/2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/25/2021"
2021-01-01,"Transcript: The Rachel Maddow Show, 1/25/2021"
2021-01-01,"Transcript: The ReidOut, 1/25/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/25/21"
2021-01-01,"Monday's Mini-Report, 1.25.21"
2021-01-01,McConnell delaying Trump's Senate impeachment trial was a gift for Democrats
2021-01-01,Biden repeals Trump's ban on transgender military service
2021-01-01,"Monday's Campaign Round-Up, 1.25.21"
2021-01-01,Why Rob Portman's Senate retirement announcement matters
2021-01-01,Can Joe Biden's economic rescue plan get through Congress?
2021-01-01,Resistance has no age limit: 3 women over 50 who stood up to Trump
